"afd_Balten_2025_08" "afd_BeatrixVonStorch_2021_07" "afd_BeatrixVonStorch_2022_06" "afd_chrupalla_2024_10" "afd_chrupalla_2025_09" "afd_Gauland_2018_02" "afd_Gauland_Regierungserklärung2018_04" "afd_Malsack-Winkemann_2018_03" "afd_weidel_2018_01" "afd_weidel_2021_05" "dolchstoß_01" "dolchstoß_BrockhausArtikel_1930_03" "dolchstoß_Eiserne Blätter_1918_05" "dolchstoß_RedeNoske_1907_04" "dolchstoß_Wahlplakat1924_02"
"zum" 0.284900284900285 0 0 0.151057401812689 0.306748466257669 0.185356811862836 0 0 0.327600327600328 0.268817204301075 0.86342229199372 0 0.757575757575758 0 0
"deutschen" 0 0.168350168350168 0 0.0755287009063444 0.306748466257669 0.185356811862836 0.883002207505519 0 0.0819000819000819 0.268817204301075 0.0784929356357928 1.08303249097473 0.757575757575758 0.99009900990099 1.14942528735632
"dieser" 0 0.168350168350168 0.271739130434783 0.377643504531722 0.204498977505112 0.556070435588508 0.11037527593819 0.136054421768707 0.0819000819000819 0.134408602150538 0.470957613814757 0 0 0 0
"wird" 0.854700854700855 0.841750841750842 0 0.226586102719033 0.204498977505112 0.278035217794254 0.22075055187638 0 0.163800163800164 0.53763440860215 0.0784929356357928 0 0 0 0
"ihrer" 0.284900284900285 0 0 0.377643504531722 0.511247443762781 0.278035217794254 0.441501103752759 0.136054421768707 0.327600327600328 0.134408602150538 0 0 0 0 0
"ja" 0.56980056980057 0 0 0.377643504531722 0.306748466257669 0.092678405931418 0.662251655629139 0.272108843537415 0.245700245700246 0 0 0 1.51515151515152 0 0
"um" 0 0.168350168350168 0 0.302114803625378 0.408997955010225 0.185356811862836 0 0.136054421768707 0.327600327600328 0.403225806451613 0.235478806907378 0.36101083032491 0 0 1.14942528735632
"denn" 0 0.168350168350168 0 0.453172205438066 0.204498977505112 0.185356811862836 0.11037527593819 1.08843537414966 0.0819000819000819 0 0.156985871271586 0 0 0 0
"durch" 0 0.673400673400673 0 0.226586102719033 0.306748466257669 0 0.11037527593819 0.272108843537415 0.0819000819000819 0.268817204301075 0.156985871271586 1.80505415162455 0 0 0
"einer" 0 1.01010101010101 0 0 0 0 0.11037527593819 0.136054421768707 0.40950040950041 0.53763440860215 0.235478806907378 1.08303249097473 0 0 0
"herren" 0.284900284900285 0.336700336700337 0.271739130434783 0.0755287009063444 0.306748466257669 0.278035217794254 0.441501103752759 0.272108843537415 0.0819000819000819 0.134408602150538 0.0784929356357928 0 0.757575757575758 1.98019801980198 0
"war" 0 0.336700336700337 0 0 0.204498977505112 0.370713623725672 0.11037527593819 0.136054421768707 0.0819000819000819 0.134408602150538 0.627943485086342 0.72202166064982 0.757575757575758 0 0
"bundeskanzlerin" 0 0 0 0 0 0.92678405931418 1.1037527593819 0 0.0819000819000819 0.134408602150538 0 0 0 0 0
"schon" 0.284900284900285 0.336700336700337 0 0.0755287009063444 0.306748466257669 0 0.662251655629139 0.272108843537415 0.491400491400491 0 0.0784929356357928 0 0 0 0
"bürger" 0.284900284900285 0 0 0.755287009063444 0.511247443762781 0 0 0.136054421768707 0.245700245700246 0.134408602150538 0 0 0 0 0
"deutsche" 0.284900284900285 0 0 0.151057401812689 0 0.092678405931418 0.11037527593819 0.408163265306122 0.163800163800164 0.134408602150538 0.470957613814757 1.08303249097473 0 0 1.14942528735632
